City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current_Description
153,Porto Empedocle,IT,37.2934,13.5264,66.87,73,32,5.86,overcast clouds
154,Antofagasta,CL,-23.65,-70.4,54.43,86,23,2.46,overcast clouds
155,Youkounkoun,GN,12.5333,-13.1333,73.69,95,100,3.2,overcast clouds
156,Zorritos,PE,-3.6805,-80.6782,67.91,81,93,9.93,overcast clouds
157,Eyrarbakki,IS,63.863,-21.1481,47.21,76,100,21.16,overcast clouds
158,Konosha,RU,60.9736,40.257,44.02,92,8,8.08,overcast clouds
159,Comodoro Rivadavia,AR,-45.8667,-67.5,57.06,54,0,10.36,overcast clouds
160,Shadrinsk,RU,56.0852,63.6335,51.01,62,98,9.19,overcast clouds
161,Minab,IR,27.1467,57.0801,86.76,59,0,4.41,overcast clouds
162,Olinda,BR,-8.0089,-34.8553,78.53,69,75,6.91,overcast clouds
163,Westport,US,41.1415,-73.3579,51.57,79,100,11.99,overcast clouds
164,Inhambane,MZ,-23.865,35.3833,75.6,76,0,6.87,overcast clouds
165,Tazovskiy,RU,67.4667,78.7,37.62,91,100,16.71,overcast clouds
166,Ankazoabo,MG,-22.2833,44.5167,81.54,30,0,2.3,overcast clouds
167,Purranque,CL,-40.9167,-73.1667,49.28,99,100,5.39,overcast clouds
168,Beyneu,KZ,45.3167,55.2,57.99,32,70,20.18,overcast clouds
169,Polyarnyye Zori,RU,67.3661,32.4981,36.86,95,100,3.56,overcast clouds
170,Rivadavia,AR,-33.1905,-68.4608,68.16,40,2,14.99,overcast clouds
171,Walsrode,DE,52.8667,9.6,51.03,96,99,4.94,overcast clouds
172,Ostrovnoy,RU,68.0531,39.5131,40.37,74,100,7.02,overcast clouds
173,Kutum,SD,14.2,24.6667,75.96,23,81,9.06,overcast clouds
174,San Ramon,US,37.7799,-121.978,63.32,84,0,5.75,overcast clouds
175,Krasnomayskiy,RU,57.6194,34.4099,41.77,92,100,10.63,overcast clouds
176,Colombia,CU,20.9881,-77.4297,72.75,93,35,4.72,overcast clouds
177,Razole,IN,16.4833,81.8333,80.82,81,100,2.93,overcast clouds
178,Touros,BR,-5.1989,-35.4608,75.13,81,21,12.66,overcast clouds
