City_ID,City,Country,Max Temp,Lat,Lng,Current_Description,Hotel Name
373,Kimberley,ZA,55.09,-28.7323,24.7623,overcast clouds,Welgewandel Guesthouse
387,Vestmannaeyjar,IS,49.44,63.4427,-20.2734,overcast clouds,Glamping & Camping
389,Colesberg,ZA,53.31,-30.72,25.0972,overcast clouds,Bhelekazi Guesthouse
391,Grindavik,IS,46.87,63.8424,-22.4338,overcast clouds,Northern Light Inn & Max's Restaurant
392,Palanga,LT,53.62,55.9175,21.0686,overcast clouds,"Hotel ""Austėja"""
394,Oktyabrskoye,RU,51.94,43.0645,44.7417,overcast clouds,Prolesok Mini-hotel
411,Semibratovo,RU,48.06,57.3046,39.5369,overcast clouds,"Semeynyy Khostel ""Mamin Uyut"""
412,Chudniv,UA,45.77,50.052,28.1175,overcast clouds,Za lu pa
415,Brae,GB,55.58,60.3964,-1.353,overcast clouds,Busta House Hotel
417,Havoysund,NO,43.03,70.9963,24.6622,overcast clouds,Arctic View Glamping & Restaurant
429,Gnjilane,XK,45.59,42.4604,21.4699,overcast clouds,iTravel Agency • Western Union
432,Storforshei,NO,46.65,66.4043,14.5233,overcast clouds,Campingplass Mo i Rana: Storli Camping
434,Borovskoy,KZ,47.23,53.8,64.15,overcast clouds,Аренда жилья/Баня
435,Barabinsk,RU,42.82,55.3571,78.357,overcast clouds,Gostinichnyy Kompleks Noy
441,Knokke-Heist,BE,52.02,51.3333,3.3333,overcast clouds,Hotel Reserve
449,Swanzey,US,46.85,42.8698,-72.2818,overcast clouds,The Bridges Inn at Whitcomb House
450,Galbshtadt,RU,43.25,53.2264,78.9845,overcast clouds,"Гостевой домик ""Deutscher Hof"""
459,Stykkisholmur,IS,44.4,65.0757,-22.7297,overcast clouds,Fosshótel Stykkishólmur
465,Sept-Iles,CA,44.6,50.2001,-66.3821,overcast clouds,Comfort Inn
466,Shakhtinsk,KZ,44.73,49.71,72.5872,overcast clouds,Orifleym
467,Maglajani,BA,46.42,44.9486,17.3494,overcast clouds,Squad Paintball
470,Two Rivers,US,51.98,44.1539,-87.5693,overcast clouds,Lighthouse Inn On Lake Michigan
472,Bereznik,RU,50.14,62.8551,42.7072,overcast clouds,coastal Hotel
474,Husavik,IS,44.46,66.0449,-17.3389,overcast clouds,Bjarnabúð
478,Olafsvik,IS,45.48,64.8945,-23.7142,overcast clouds,Hotel Olafsvik
479,Bereda,ES,54.41,43.2686,-7.5406,overcast clouds,Pazo de Verdes
483,Samaipata,BO,53.73,-18.15,-63.8667,overcast clouds,Casa - Hostal
488,Shawinigan,CA,46.81,46.5668,-72.7491,overcast clouds,Hôtel Énergie Shawinigan
494,Hopewell,US,48.88,37.3043,-77.2872,overcast clouds,Best Western Plus Hopewell Fort Lee
495,Hof,DE,46.49,50.3167,11.9167,overcast clouds,Hotel Burghof
503,Hamilton,US,53.89,39.1834,-84.5333,overcast clouds,Six Acres Bed & Breakfast
506,Horbranz,AT,49.12,47.55,9.75,overcast clouds,Bodenseehotel Lindau
507,Scarborough,GB,55.92,54.2797,-0.4044,overcast clouds,The Grand Hotel Scarborough
508,Vigrestad,NO,55.08,58.5667,5.7,overcast clouds,Brusand Camping
514,Clermont,FR,43.72,49.5,2.4167,overcast clouds,"gîte et chambres d'hôtes"" Le Manoir Enchanté"" de Mme Doumayrou"
521,Yurginskoye,RU,44.08,56.8189,67.3921,overcast clouds,
525,Virtsu,EE,46.98,58.5716,23.5115,overcast clouds,Pivarootsi Holiday Village
526,Den Helder,NL,55.38,52.9599,4.7593,overcast clouds,Hotel Den Helder
530,Oranjemund,,54.9,-28.55,16.4333,overcast clouds,The Fisherman's Cove
533,Shalakusha,RU,45.91,62.2247,40.2539,overcast clouds,
537,Upington,ZA,52.18,-28.4478,21.2561,overcast clouds,River Place Manor
538,Burgersdorp,ZA,55.24,-30.9977,26.3286,overcast clouds,DeKat Self Catering
541,Podstepki,RU,54.28,53.5151,49.1355,overcast clouds,Country House in Podstepki
543,Damme,DE,51.76,52.5167,8.2,overcast clouds,Waldhotel zum Bergsee Damme
544,Muzhi,RU,41.11,65.3667,64.6667,overcast clouds,Gostinitsa
547,Lasa,IT,50.88,46.6166,10.7002,overcast clouds,Pension Feldgärtenhof
552,Calvinia,ZA,46.85,-31.4707,19.776,overcast clouds,Die Lemoenhuis
553,Kizema,RU,49.89,61.113,44.8302,overcast clouds,
554,Saint-Francois,FR,42.24,46.4154,3.9054,overcast clouds,Maison Vin d'Hus
560,Necochea,AR,43.23,-38.5473,-58.7368,overcast clouds,dyd -mar Hotel
563,Havelock,US,53.92,34.8791,-76.9013,overcast clouds,Sherwood Motel
567,Leshukonskoye,RU,40.3,64.8989,45.7622,overcast clouds,Pryalitsa Hostel
